who,voting-status,party,sir-state,shared?,content-bias,xcor,ycor
472,will-vote,A,susceptible,FALSE,neutral,-2.802919285,16.06863013
152,will-vote,A,susceptible,FALSE,neutral,14.45548927,-10.1696479
206,will-not-vote,A,susceptible,FALSE,neutral,12.11476155,10.33532634
80,will-vote,A,susceptible,FALSE,neutral,3.98369085,-9.609251277
459,will-vote,A,susceptible,FALSE,neutral,10.19079363,15.17072251
496,will-vote,B,susceptible,FALSE,neutral,2.703598002,-8.343310404
486,will-vote,B,susceptible,FALSE,neutral,2.135288066,3.645927658
410,will-vote,B,susceptible,FALSE,neutral,5.426070942,0.38122777
264,will-vote,A,susceptible,FALSE,neutral,-5.039190169,0.787236514
255,will-vote,B,susceptible,FALSE,neutral,-1.39863106,8.527458087
385,will-vote,B,susceptible,FALSE,neutral,12.45189651,-14.54320937
267,will-vote,B,susceptible,FALSE,neutral,10.16126639,-14.89878186
417,will-vote,B,susceptible,FALSE,neutral,12.67915954,-3.825762716
4,will-vote,B,susceptible,FALSE,neutral,-15.23003489,-13.29227816
412,will-not-vote,A,susceptible,FALSE,neutral,-6.753519467,-1.700432512
278,will-vote,A,susceptible,FALSE,neutral,8.419074481,14.66810393
491,will-vote,A,susceptible,FALSE,neutral,-0.805722019,-11.06597379
330,will-vote,A,susceptible,FALSE,neutral,9.952837812,2.758697657
495,will-not-vote,None,infected,FALSE,neutral,3.374982112,-5.562986661
94,will-vote,A,susceptible,FALSE,neutral,-3.98825957,-6.960455944
159,will-not-vote,A,susceptible,FALSE,neutral,-1.401288677,12.22410094
281,will-vote,B,susceptible,FALSE,neutral,-4.97617063,5.658325971
138,will-vote,A,susceptible,FALSE,neutral,8.88009834,14.26543049
25,will-not-vote,None,susceptible,FALSE,neutral,-13.14742293,-3.636712124
210,will-vote,A,susceptible,FALSE,neutral,-6.106907658,15.90639502
258,will-vote,B,susceptible,FALSE,neutral,13.63536231,-4.15095686
16,will-vote,B,susceptible,FALSE,neutral,8.097835943,12.42171299
173,will-vote,B,susceptible,FALSE,neutral,-5.740292701,10.66679009
346,will-vote,B,infected,TRUE,partyB,-13.33448565,-2.647480878
249,will-vote,B,infected,TRUE,partyB,14.05405632,-10.37926224
292,will-vote,B,susceptible,FALSE,neutral,-5.125870153,-7.985895014
335,will-not-vote,A,susceptible,FALSE,neutral,-1.258490023,-2.625832916
290,will-vote,A,susceptible,FALSE,neutral,-13.78661175,1.99254588
23,will-vote,B,susceptible,FALSE,neutral,13.77329371,-3.828651817
468,will-vote,B,susceptible,FALSE,neutral,10.04508803,6.095289245
147,will-vote,A,susceptible,FALSE,neutral,-11.19333198,-10.51298663
83,will-not-vote,B,susceptible,FALSE,neutral,14.21567925,15.85887702
