id,breed,ideology,p_A,p_B,p_N,engagement,susceptibility,voting_intention,xcor,ycor
99,youths,A,0.39538986604095655,0.3684274027040864,0.23618273125495706,5,0.12896310414187837,true,9.687080410126306,-9.657934523816712
560,nonyouths,B,0,0.6748883732658575,0.32511162673414246,4,0.1,false,-10.090263382381023,11.23333495728098
293,youths,B,0,0.5405320118497026,0.4594679881502975,4,0.1,true,-17.098614338961095,10.93090310177725
186,youths,B,0,1,0,1,0.1,true,-10.638749166301116,6.551256283300706
416,youths,A,0.46655946158095113,0.11253938374247402,0.4209011546765748,5,0.1,true,-14.814934147028339,-18.808665670866134
77,youths,None,0.474236460376476,0.04757960151300844,0.4781839381105155,7,0.1,true,-6.060874538490388,1.9021674967229707
341,youths,None,0,0,1,5,0.3102588367215301,false,8.062593740495256,4.9851372595775025
62,youths,A,1,0,0,9,0.1,true,-4.144057694901143,9.364114729661093
570,nonyouths,B,0.07440369581032814,0.8195124247460246,0.10608387944364726,1,0.1,true,-12.382086319003552,-15.295783311299267
337,youths,B,0,0.8205113113509106,0.1794886886490894,6,0.1,true,-4.069030672585416,-8.967398766740674
454,youths,None,0.17942549732961974,0,0.8205745026703802,9,0.1059311953229831,false,18.832427571087642,-14.777363562168237
32,youths,A,0.5108801842792438,0.3491143554752937,0.1400054602454625,9,0.1,true,15.008941578957632,11.609197176215552
57,youths,None,0.3853531055358842,0.1531636453571651,0.46148324910695077,2,0.1,false,-7.288986046499623,4.074168027989561
470,youths,B,0.14498663353616567,0.7043602315524905,0.15065313491134397,6,0.1,true,9.694829043167555,-15.213178485418204
15,youths,None,0.08148343224783237,0.3341310071224488,0.5843855606297188,10,0.1,true,9.661000464554245,-2.932960038218667
535,nonyouths,None,0.3058749480807516,0.31978253171138826,0.37434252020786,4,0.1,true,-14.914412589406773,-14.121883898825887
75,youths,B,0.13551652994641328,0.5784407168030541,0.2860427532505326,8,0.1,true,11.112937489374627,-7.303088799776658
27,youths,A,0.7358290501349724,0.21493781078961163,0.049233139075416044,0,0.1,true,2.79007755712572,17.192043582395
174,youths,None,0.05105434536704612,0.3268018003475006,0.6221438542854534,3,0.1,false,-8.155393415689854,-13.619704986995865
113,youths,None,0.4238335660580941,0.07265928222431649,0.5035071517175894,2,0.1,false,-7.361633602006201,19.040238088552194
388,youths,A,0.8289278946531331,0,0.17107210534686684,6,0.1,true,17.32131691761429,16.381520930848808
91,youths,B,0,1,0,7,0.1,true,9.999003721371079,-8.426503375120271
557,nonyouths,B,0,1,0,4,0.1,true,7.24918785025503,-7.052065363266703
295,youths,None,0.1644215958456967,0.06912006537056317,0.7664583387837401,2,0.1,false,13.68904840076462,7.805100446086303
118,youths,None,0.15930224078145847,0,0.8406977592185415,2,0.1,false,7.808894853664523,16.854520168036515
273,youths,None,0.034800722357288684,0.32881360069477705,0.6363856769479344,10,0.1,false,10.294009084544498,1.3764667255429544
471,youths,None,0,0.14091181245740564,0.8590881875425943,1,0.1,false,-3.1072854714372546,3.44778797414903
391,youths,A,0.4692506873683264,0.09739331318222368,0.43335599944944997,4,0.1,false,-1.5236433616369034,15.666278770467429
520,nonyouths,A,0.6225029689218143,0,0.37749703107818566,6,0.1,true,-19.30297457778039,-19.884833483264234
415,youths,None,0.320748391622806,0.12034253486531778,0.5589090735118764,7,0.1,true,14.888375429659888,-2.895820430011394
89,youths,None,0.19250476415466222,0.34181746534727775,0.46567777049806003,2,0.1,false,-4.18992321313776,17.028052119846073
305,youths,None,0.10523863162314108,0.24713986215809708,0.6476215062187618,9,0.17383849854164643,true,-10.406452377101997,14.043312544811286
87,youths,A,0.3887056613219981,0.34750753154235886,0.2637868071356431,10,0.1,true,11.326526506979302,15.392610263606628
478,youths,B,0,0.5695665153637938,0.4304334846362062,10,0.1,true,3.7620986878416147,-13.427006357626013
226,youths,B,0,1,0,0,0.1,false,10.393610819760553,18.265850615858596
360,youths,A,0.5776360660478387,0.42236393395216143,0,8,0.14432151119442915,true,-10.653754874293403,2.491271624778527
456,youths,None,0.03740259350546045,0,0.9625974064945396,3,0.10430460697902826,false,10.520223404077889,6.255517438191973
574,nonyouths,B,0.21832858932026056,0.4026805201732503,0.3789908905064892,3,0.1,true,17.867692447407606,18.97469671498164
329,youths,B,0.23570737869222794,0.764292621307772,0,3,0.1,true,15.292193556573807,8.745280767483049
67,youths,None,0.17235335107715002,0,0.8276466489228499,0,0.1,false,-7.9503808218374665,-20.35864384782716
386,youths,None,0.2726574353796094,0.0956599085612658,0.6316826560591249,2,0.1,false,-2.803287985811764,11.37576045444489
589,nonyouths,B,0.22648994740146636,0.7735100525985336,0,1,0.1,true,-2.875607358958316,13.44872579454914
12,youths,B,0,1,0,0,0.1,true,10.17616987661268,20.174879142296717
358,youths,None,0.21460921846151948,0,0.7853907815384806,4,0.1,false,-16.879616258411186,18.55279310484149
488,youths,B,0.04526409026169457,0.5785696714001402,0.37616623833816537,9,0.1,true,13.154683781468357,16.90071149188308
290,youths,None,0.4646644037923804,0,0.5353355962076197,0,0.1,false,-9.023831503589685,11.99408283861176
